fecha,ruta,total_abordo,pasajeros_abordo,personal_abordo,total_fallecidos,pasajeros_fallecidos,personal_fallecido,anio,decada
1908-09-17,"Fort Myer, Virginia",2,1,1,1,1,0,1908,1900
1909-09-07,"Juvisy-sur-Orge, France",1,0,1,1,0,0,1909,1900
1912-07-12,"Atlantic City, New Jersey",5,0,5,5,0,5,1912,1910
1913-08-06,"Victoria, British Columbia, Canada",1,0,1,1,0,1,1913,1910
1913-09-09,Over the North Sea,20,,,14,,,1913,1910
1913-10-17,"Near Johannisthal, Germany",28,,,28,,,1913,1910
1915-03-05,"Tienen, Belgium",41,0,41,17,0,17,1915,1910
1915-09-03,"Off Cuxhaven, Germany",19,,,19,,,1915,1910
1916-07-28,"Near Jambol, Bulgeria",20,,,20,,,1916,1910
1916-09-24,"Billericay, England",22,,,22,,,1916,1910
1916-10-01,"Potters Bar, England",19,0,19,19,0,19,1916,1910
1916-11-21,"Mainz, Germany",28,,,27,,,1916,1910
1916-11-28,"Off West Hartlepool, England",20,,,20,,,1916,1910
1917-03-04,"Near Gent, Belgium",20,,,20,,,1917,1910
1917-03-30,Off Northern Germany,23,,,23,,,1917,1910
1917-05-14,"Near Texel Island, North Sea",21,,,21,,,1917,1910
1917-06-14,"Off Vlieland Island, North Sea",24,,,24,,,1917,1910
1917-06-17,"Near Yarmouth, England",16,,,14,,,1917,1910
1917-08-21,Off western Denmark,18,,,18,,,1917,1910
1917-10-20,"Near Luneville, France",18,,,18,,,1917,1910
1918-04-07,Over the Mediterranean,23,,,23,,,1918,1910
1918-08-05,"Off Helgoland Island, Germany",22,,,22,,,1918,1910
1918-08-11,"Ameland Island, North Sea",19,,,19,,,1918,1910
1918-12-16,"Elizabeth, New Jersey",1,0,1,1,0,1,1918,1910
1919-05-25,"Cleveland, Ohio",1,0,1,1,0,1,1919,1910
1919-07-19,"Dix Run, Pennsylvania",1,0,1,1,0,1,1919,1910
1919-07-21,"Chicago, Illinois",,,,3,2,1,1919,1910
1919-08-02,"Verona, Italy",14,12,2,14,12,2,1919,1910
1919-10-02,"Newcastle, England",1,0,1,1,0,1,1919,1910
1919-10-14,"Cantonsville, Maryland",1,0,1,1,0,1,1919,1910
1919-10-20,"English Channel off Forkstone, Kent",0,0,1,0,0,0,1919,1910
1919-10-30,"Long Valley, New Jersey",1,0,1,1,0,1,1919,1910
1919-12-11,"Catherham, Surrey, UK",1,1,1,1,1,1,1919,1910
1920-03-10,"New Paris, Indiana",1,0,1,1,0,1,1920,1920
1920-03-30,"Newark, New Jersey",1,0,1,1,0,1,1920,1920
1920-04-10,"Newark, New Jersey",2,1,1,1,0,1,1920,1920
1920-04-11,"Heller Field, New Jersey",2,1,1,1,0,1,1920,1920
1920-05-12,"Oskaloosa, Iowa",2,1,1,1,1,0,1920,1920
1920-06-06,"Cleveland, Ohio",1,0,1,1,0,1,1920,1920
1920-07-20,"Cartagena, Columbia",1,1,1,1,1,1,1920,1920
1920-08-16,"Bedford, England",1,0,1,1,0,1,1920,1920
1920-08-16,"College Park, Maryland",1,0,1,1,0,1,1920,1920
1920-09-01,"Morristown, New Jersey",2,0,2,2,0,2,1920,1920
1920-09-15,"Pemberville, Ohio",2,,,2,,,1920,1920
1920-09-27,"Hillersburg, Pennsylvania",1,0,1,1,0,1,1920,1920
1920-10-02,"Off Port Vendres, France",2,1,1,2,1,1,1920,1920
1920-10-05,"Valencia, Spain",2,1,1,2,1,1,1920,1920
1920-10-15,"Batavia, Illinois",1,0,1,1,0,1,1920,1920
1920-11-07,"Tie Siding, Wyoming",1,0,1,1,0,1,1920,1920
1920-12-14,"London, England",8,6,2,4,2,2,1920,1920
1920-12-24,"Barcelona, Spain",1,0,1,1,0,1,1920,1920
1921-02-03,"Mendotta, Minnisota",1,0,1,1,0,1,1921,1920
1921-02-09,"La Crosse, Wisconsin",3,0,3,3,0,3,1921,1920
1921-02-15,Off Gibraltar,2,0,2,2,0,2,1921,1920
1921-02-22,"Elko, Nevada",1,0,1,1,0,1,1921,1920
1921-04-06,"Point Cook, Australia",2,0,0,2,0,0,1921,1920
1921-04-21,"Mitchel Field, NY",1,0,1,1,0,1,1921,1920
1921-04-29,"Cleveland, Ohio",1,0,1,1,0,1,1921,1920
1921-05-17,"Rock Springs, Wyoming",1,0,1,1,0,1,1921,1920
1921-08-14,"Toulouse, France",2,,,2,,,1921,1920
1921-08-24,"River Humber, England",49,0,49,43,0,43,1921,1920
